Food Quality,True,False,False,False,1/21/2021 1:55:02 PM
Staff Friendliness,False,True,False,False,1/21/2021 1:55:02 PM
Cleanliness,True,False,False,False,1/21/2021 1:55:02 PM
Odrder Accuracy,False,True,False,False,1/21/2021 1:55:02 PM
Restaurant Ambiance,False,False,False,False,1/21/2021 1:55:02 PM
Value For Money,False,False,False,True,1/21/2021 1:55:02 PM
Food Quality,True,False,False,False,1/21/2021 2:20:10 PM
Staff Friendliness,False,True,False,False,1/21/2021 2:20:10 PM
Cleanliness,False,False,True,False,1/21/2021 2:20:10 PM
Odrder Accuracy,False,False,False,True,1/21/2021 2:20:10 PM
Restaurant Ambiance,False,True,False,False,1/21/2021 2:20:10 PM
Value For Money,False,False,True,False,1/21/2021 2:20:10 PM
Food Quality,True,False,False,False,1/21/2021 11:36:19 PM
Staff Friendliness,False,True,False,False,1/21/2021 11:36:19 PM
Cleanliness,False,False,True,False,1/21/2021 11:36:19 PM
Order Accuracy,False,True,False,False,1/21/2021 11:36:19 PM
Restaurant Ambiance,False,False,True,False,1/21/2021 11:36:19 PM
Value For Money,False,False,False,True,1/21/2021 11:36:19 PM
Food Quality,True,False,False,False,1/22/2021 7:35:58 AM
Staff Friendliness,True,False,False,False,1/22/2021 7:35:58 AM
Cleanliness,False,True,False,False,1/22/2021 7:35:58 AM
Order Accuracy,False,False,True,False,1/22/2021 7:35:58 AM
Restaurant Ambiance,False,False,False,True,1/22/2021 7:35:58 AM
Value For Money,False,False,True,False,1/22/2021 7:35:58 AM
